,0
0,6.0
1,0.0
2,0.0
3,0.0
4,2.0
5,6.0
6,6.0
7,6.0
8,0.0
9,6.0
10,6.0
11,3.0
12,3.0
13,6.0
14,6.0
15,6.0
16,3.0
17,6.0
18,6.0
19,2.0
20,0.0
21,6.0
22,3.0
23,0.0
24,0.0
25,6.0
26,7.0
27,6.0
28,7.0
29,0.0
30,6.0
31,6.0
32,3.0
33,3.0
34,6.0
35,6.0
36,6.0
37,6.0
38,6.0
39,3.0
40,0.0
41,0.0
42,3.0
43,1.0
44,6.0
45,6.0
46,6.0
47,0.0
48,7.0
49,2.0
50,7.0
51,6.0
52,6.0
53,6.0
54,4.0
55,5.0
56,3.0
57,3.0
58,2.0
59,6.0
60,7.0
61,6.0
62,6.0
63,0.0
64,0.0
65,6.0
66,0.0
67,0.0
68,6.0
69,0.0
70,3.0
71,0.0
72,6.0
73,4.0
74,0.0
75,6.0
76,8.0
77,6.0
78,6.0
79,1.0
80,6.0
81,6.0
82,7.0
83,6.0
84,5.0
85,3.0
86,6.0
87,3.0
88,0.0
89,0.0
90,6.0
91,0.0
92,7.0
93,6.0
94,0.0
95,2.0
96,6.0
97,0.0
98,0.0
99,6.0
100,6.0
101,7.0
102,3.0
103,0.0
104,6.0
105,6.0
106,0.0
107,6.0
108,6.0
109,6.0
110,3.0
111,7.0
112,1.0
113,7.0
114,4.0
115,6.0
116,3.0
117,0.0
118,6.0
119,7.0
120,0.0
121,0.0
122,8.0
123,0.0
124,6.0
125,3.0
126,6.0
127,6.0
128,6.0
129,7.0
130,0.0
131,6.0
132,0.0
133,1.0
134,0.0
135,0.0
136,6.0
137,6.0
138,3.0
139,7.0
140,6.0
141,6.0
142,6.0
143,6.0
144,0.0
145,3.0
146,8.0
147,7.0
148,2.0
149,6.0
150,3.0
151,0.0
152,6.0
153,7.0
154,0.0
155,0.0
156,3.0
157,2.0
158,6.0
159,3.0
160,6.0
161,7.0
162,6.0
163,0.0
164,6.0
165,0.0
166,6.0
167,6.0
168,6.0
169,6.0
170,6.0
171,7.0
172,6.0
173,7.0
